Date,Price,Open,High,Low,Vol.,Change %
Feb-10,1104.49,1073.89,1112.42,1044.50,-,0.0285
Jan-10,1073.87,1116.56,1150.45,1071.59,-,-0.0370
Dec-09,1115.10,1098.89,1130.38,1085.89,-,0.0178
Nov-09,1095.63,1036.18,1113.69,1029.38,-,0.0574
Oct-09,1036.19,1054.91,1101.36,1019.95,-,-0.0198
Sep-09,1057.08,1019.52,1080.15,991.97,-,0.0357
Aug-09,1020.62,990.22,1039.47,978.51,-,0.0336
Jul-09,987.48,920.82,996.68,869.32,-,0.0741
Jun-09,919.32,923.26,956.23,888.86,-,0.0002
May-09,919.14,872.74,930.17,866.10,-,0.0531
Apr-09,872.81,793.59,888.70,783.32,-,0.0939
Mar-09,797.87,729.57,832.98,666.79,-,0.0854
Feb-09,735.09,823.09,875.01,734.52,-,-0.1099
Jan-09,825.88,902.99,943.85,804.30,-,-0.0857
Dec-08,903.25,888.61,918.85,815.69,-,0.0078
Nov-08,896.24,968.67,1007.51,741.02,-,-0.0748
Oct-08,968.75,1164.17,1167.03,839.80,-,-0.1694
Sep-08,1166.36,1287.83,1303.04,1106.39,-,-0.0908
Aug-08,1282.83,1269.42,1313.15,1247.45,-,0.0122
Jul-08,1267.38,1276.69,1292.17,1200.44,-,-0.0099
Jun-08,1280.00,1399.62,1404.05,1272.00,-,-0.0860
May-08,1400.38,1385.97,1440.24,1373.07,-,0.0107
Apr-08,1385.59,1326.41,1404.57,1324.35,-,0.0475
Mar-08,1322.70,1330.45,1359.68,1256.98,-,-0.0060
Feb-08,1330.63,1378.60,1396.02,1316.75,-,-0.0348
Jan-08,1378.55,1467.97,1471.77,1270.05,-,-0.0612
Dec-07,1468.36,1479.63,1523.57,1435.65,-,-0.0086
Nov-07,1481.14,1545.79,1545.79,1406.10,-,-0.0440
Oct-07,1549.38,1527.29,1576.09,1489.56,-,0.0148
Sep-07,1526.75,1473.96,1538.74,1439.29,-,0.0358
Aug-07,1473.99,1455.18,1503.89,1370.60,-,0.0129
Jul-07,1455.27,1504.66,1555.90,1454.25,-,-0.0320
Jun-07,1503.35,1530.62,1540.56,1484.18,-,-0.0178
May-07,1530.62,1482.37,1535.56,1476.70,-,0.0325
Apr-07,1482.37,1420.83,1498.02,1416.37,-,0.0433
Mar-07,1420.86,1406.80,1438.89,1363.98,-,0.0100
Feb-07,1406.82,1437.90,1461.57,1389.42,-,-0.0218
Jan-07,1438.24,1418.03,1441.61,1403.97,-,0.0141
Dec-06,1418.30,1400.63,1431.81,1385.93,-,0.0126
Nov-06,1400.63,1377.76,1407.89,1360.98,-,0.0165
Oct-06,1377.94,1335.82,1389.45,1327.10,-,0.0315
Sep-06,1335.85,1303.80,1340.28,1290.93,-,0.0246
Aug-06,1303.82,1278.53,1306.74,1261.30,-,0.0213
Jul-06,1276.66,1270.06,1280.42,1224.54,-,0.0051
Jun-06,1270.20,1270.05,1290.68,1219.29,-,0.0001
May-06,1270.09,1310.61,1326.70,1245.34,-,-0.0309
Apr-06,1310.61,1302.88,1318.16,1280.74,-,0.0122
Mar-06,1294.83,1280.66,1310.88,1268.42,-,0.0111
Feb-06,1280.66,1280.08,1297.57,1253.61,-,0.0005
Jan-06,1280.08,1248.29,1294.90,1245.74,-,0.0255
Dec-05,1248.29,1249.48,1275.80,1246.59,-,-0.0010
Nov-05,1249.48,1207.01,1270.64,1201.07,-,0.0352
Oct-05,1207.01,1228.81,1233.34,1168.20,-,-0.0177
Sep-05,1228.81,1220.33,1243.13,1205.35,-,0.0069
Aug-05,1220.33,1234.18,1245.86,1201.07,-,-0.0112
Jul-05,1234.18,1191.33,1245.15,1183.55,-,0.0360
Jun-05,1191.33,1191.50,1219.59,1188.30,-,-0.0001
May-05,1191.50,1156.85,1199.56,1146.18,-,0.0300
Apr-05,1156.85,1180.59,1191.88,1136.15,-,-0.0201
Mar-05,1180.59,1203.60,1229.11,1163.69,-,-0.0191
Feb-05,1203.60,1181.27,1212.44,1180.95,-,0.0189
Jan-05,1181.27,1211.92,1217.90,1163.75,-,-0.0253
Dec-04,1211.92,1173.78,1217.33,1173.76,-,0.0325
Nov-04,1173.82,1130.20,1188.46,1127.53,-,0.0386
Oct-04,1130.20,1114.58,1142.05,1090.19,-,0.0140
Sep-04,1114.58,1104.24,1131.54,1099.11,-,0.0094
Aug-04,1104.24,1101.72,1109.68,1060.72,-,0.0023
Jul-04,1101.72,1140.84,1140.84,1078.78,-,-0.0343
Jun-04,1140.84,1120.68,1146.34,1113.32,-,0.0180
May-04,1120.68,1107.30,1127.74,1076.32,-,0.0121
Apr-04,1107.30,1126.21,1150.57,1107.23,-,-0.0168
Mar-04,1126.21,1144.94,1163.23,1087.06,-,-0.0164
Feb-04,1144.94,1131.13,1158.98,1124.44,-,0.0122
Jan-04,1131.13,1111.92,1155.38,1105.08,-,0.0173
Dec-03,1111.92,1058.20,1112.56,1053.41,-,0.0508
Nov-03,1058.20,1050.71,1063.65,1031.20,-,0.0071
Oct-03,1050.71,995.97,1053.79,995.97,-,0.0550
Sep-03,995.97,1008.01,1040.29,990.36,-,-0.0119
Aug-03,1008.01,990.31,1011.01,960.84,-,0.0148
Jul-03,993.32,974.50,1015.41,962.10,-,0.0193
Jun-03,974.50,963.59,1015.33,963.59,-,0.0113
May-03,963.59,916.92,965.38,902.83,-,0.0509
Apr-03,916.92,848.18,924.24,847.85,-,0.0810
Mar-03,848.18,841.15,895.90,788.90,-,0.0084
Feb-03,841.15,855.70,864.64,806.29,-,-0.0170
Jan-03,855.70,879.82,935.05,840.34,-,-0.0274
Dec-02,879.82,936.31,954.28,869.45,-,-0.0603
Nov-02,936.31,885.76,941.82,872.05,-,0.0571
Oct-02,885.76,815.28,907.44,768.63,-,0.0864
Sep-02,815.28,916.07,924.02,800.20,-,-0.1100
Aug-02,916.07,911.62,965.00,833.44,-,0.0049
Jul-02,911.62,989.82,994.46,775.68,-,-0.0790
Jun-02,989.82,1067.14,1070.74,952.92,-,-0.0725
May-02,1067.14,1076.92,1106.59,1048.96,-,-0.0091
Apr-02,1076.92,1147.39,1147.84,1063.46,-,-0.0614
Mar-02,1147.39,1106.73,1173.94,1106.73,-,0.0367
Feb-02,1106.73,1130.20,1130.20,1074.36,-,-0.0208
Jan-02,1130.20,1148.08,1176.97,1081.66,-,-0.0156
Dec-01,1148.08,1139.45,1173.62,1114.53,-,0.0076
Nov-01,1139.45,1059.78,1163.38,1054.31,-,0.0752
Oct-01,1059.78,1040.94,1110.61,1026.76,-,0.0181
Sep-01,1040.94,1133.58,1155.40,944.75,-,-0.0817
Aug-01,1133.58,1211.23,1226.27,1124.87,-,-0.0641
Jul-01,1211.23,1224.42,1239.78,1165.54,-,-0.0107
Jun-01,1224.38,1255.82,1286.62,1203.03,-,-0.0250
May-01,1255.82,1249.46,1315.93,1232.00,-,0.0051
Apr-01,1249.46,1160.33,1269.30,1091.99,-,0.0768
Mar-01,1160.33,1239.94,1267.42,1081.19,-,-0.0642
Feb-01,1239.94,1366.01,1376.38,1215.44,-,-0.0923
Jan-01,1366.01,1320.28,1383.37,1274.62,-,0.0346
Dec-00,1320.28,1314.95,1389.05,1254.07,-,0.0041
Nov-00,1314.95,1429.40,1438.46,1294.90,-,-0.0801
Oct-00,1429.40,1436.52,1454.82,1305.79,-,-0.0049
Sep-00,1436.51,1517.68,1530.09,1419.44,-,-0.0535
Aug-00,1517.68,1430.83,1525.21,1425.43,-,0.0607
Jul-00,1430.83,1454.60,1517.32,1413.89,-,-0.0163
Jun-00,1454.60,1420.60,1488.93,1420.60,-,0.0239
May-00,1420.60,1452.43,1481.51,1361.09,-,-0.0219
Apr-00,1452.43,1498.58,1527.19,1339.40,-,-0.0308
Mar-00,1498.58,1366.42,1552.87,1346.62,-,0.0967
Feb-00,1366.42,1394.46,1444.55,1325.07,-,-0.0201
Jan-00,1394.46,1469.25,1478.00,1350.14,-,-0.0509
Dec-99,1469.25,1388.91,1473.10,1387.38,-,0.0578
Nov-99,1388.91,1362.93,1425.31,1346.41,-,0.0191
Oct-99,1362.93,1282.71,1373.17,1233.70,-,0.0625
Sep-99,1282.71,1320.41,1361.39,1256.26,-,-0.0286
Aug-99,1320.41,1328.72,1382.84,1267.73,-,-0.0063
Jul-99,1328.72,1372.71,1420.33,1328.49,-,-0.0320
Jun-99,1372.71,1301.84,1372.93,1277.47,-,0.0544
May-99,1301.84,1335.18,1375.98,1277.31,-,-0.0250
Apr-99,1335.18,1286.37,1371.56,1282.56,-,0.0379
Mar-99,1286.37,1238.33,1323.82,1216.03,-,0.0388
Feb-99,1238.33,1279.64,1283.84,1211.89,-,-0.0323
Jan-99,1279.64,1229.23,1280.37,1205.46,-,0.0410
Dec-98,1229.23,1163.63,1244.93,1136.89,-,0.0564
Nov-98,1163.63,1098.67,1192.97,1098.67,-,0.0591
Oct-98,1098.67,1017.01,1103.78,923.32,-,0.0803
Sep-98,1017.01,957.28,1066.11,939.98,-,0.0624
Aug-98,957.28,1120.67,1121.79,957.28,-,-0.1458
Jul-98,1120.67,1133.84,1190.58,1114.30,-,-0.0116
Jun-98,1133.84,1090.82,1145.15,1074.67,-,0.0394
May-98,1090.82,1111.75,1130.52,1074.39,-,-0.0188
Apr-98,1111.75,1101.75,1132.98,1076.70,-,0.0091
Mar-98,1101.75,1049.34,1113.07,1030.87,-,0.0499
Feb-98,1049.34,980.28,1051.66,980.28,-,0.0704
Jan-98,980.28,970.43,992.65,912.83,-,0.0102
Dec-97,970.43,955.40,986.25,924.92,-,0.0157
Nov-97,955.40,914.62,964.55,900.61,-,0.0446
Oct-97,914.62,947.28,983.12,855.27,-,-0.0345
Sep-97,947.28,899.47,960.59,899.47,-,0.0532
Aug-97,899.47,954.29,964.17,893.34,-,-0.0575
Jul-97,954.31,885.14,957.73,884.54,-,0.0781
Jun-97,885.14,848.28,902.09,838.82,-,0.0435
May-97,848.28,801.34,851.87,793.21,-,0.0586
Apr-97,801.34,757.12,804.13,733.54,-,0.0584
Mar-97,757.12,790.82,814.90,756.13,-,-0.0426
Feb-97,790.82,786.16,817.68,773.43,-,0.0059
Jan-97,786.16,740.74,794.67,729.55,-,0.0613
Dec-96,740.74,757.02,761.75,716.69,-,-0.0215
Nov-96,757.02,705.27,762.12,701.30,-,0.0734
Oct-96,705.27,687.31,714.10,684.44,-,0.0261
Sep-96,687.33,651.99,690.88,643.97,-,0.0542
Aug-96,651.99,639.95,670.68,639.49,-,0.0188
Jul-96,639.95,670.63,675.88,605.88,-,-0.0457
Jun-96,670.63,669.12,680.32,658.75,-,0.0023
May-96,669.12,654.17,681.10,630.07,-,0.0229
Apr-96,654.17,645.50,656.68,624.14,-,0.0134
Mar-96,645.50,640.43,656.97,627.63,-,0.0079
Feb-96,640.43,636.02,664.23,633.71,-,0.0069
Jan-96,636.02,615.93,636.18,597.29,-,0.0326
Dec-95,615.93,605.37,622.88,605.05,-,0.0174
Nov-95,605.37,581.50,608.69,581.04,-,0.0410
Oct-95,581.50,584.41,590.66,571.55,-,-0.0050
Sep-95,584.41,561.88,587.61,561.01,-,0.0401
Aug-95,561.88,562.06,565.62,553.04,-,-0.0003
Jul-95,562.06,544.75,565.40,542.51,-,0.0318
Jun-95,544.75,533.40,551.07,526.00,-,0.0213
May-95,533.40,514.76,533.41,513.03,-,0.0363
Apr-95,514.71,500.70,515.29,500.20,-,0.0280
Mar-95,500.71,487.39,508.15,479.70,-,0.0273
Feb-95,487.39,470.42,489.19,469.29,-,0.0361
Jan-95,470.42,459.21,471.36,457.20,-,0.0243
Dec-94,459.27,453.55,462.73,442.88,-,0.0123
Nov-94,453.69,472.26,472.26,444.18,-,-0.0395
Oct-94,472.35,462.69,474.74,449.27,-,0.0208
Sep-94,462.71,475.49,475.49,458.47,-,-0.0269
Aug-94,475.49,458.28,477.59,456.08,-,0.0376
Jul-94,458.26,444.27,459.33,443.58,-,0.0315
Jun-94,444.27,456.50,463.23,439.83,-,-0.0268
May-94,456.50,450.91,457.77,440.78,-,0.0124
Apr-94,450.91,445.66,452.79,435.86,-,0.0115
Mar-94,445.77,467.19,471.09,436.16,-,-0.0457
Feb-94,467.14,481.60,482.23,464.26,-,-0.0300
Jan-94,481.61,466.51,482.85,464.36,-,0.0325
Dec-93,466.45,461.93,471.29,461.45,-,0.0101
Nov-93,461.79,467.83,469.11,454.36,-,-0.0129
Oct-93,467.83,458.93,471.10,456.40,-,0.0194
Sep-93,458.93,463.55,463.80,449.64,-,-0.0100
Aug-93,463.56,448.13,463.56,446.94,-,0.0344
Jul-93,448.13,450.54,451.15,441.40,-,-0.0053
Jun-93,450.53,450.23,455.63,442.50,-,0.0008
May-93,450.19,440.19,454.55,436.86,-,0.0227
Apr-93,440.19,451.67,452.63,432.30,-,-0.0254
Mar-93,451.67,443.38,456.76,441.07,-,0.0187
Feb-93,443.38,438.78,450.04,428.25,-,0.0105
Jan-93,438.78,435.70,442.66,426.88,-,0.0070
Dec-92,435.71,431.35,442.65,428.61,-,0.0101
Nov-92,431.35,418.66,431.93,415.58,-,0.0303
Oct-92,418.68,417.80,421.16,396.80,-,0.0021
Sep-92,417.80,414.03,425.27,412.71,-,0.0091
Aug-92,414.03,424.19,425.14,408.30,-,-0.0240
Jul-92,424.21,408.20,424.80,407.20,-,0.0394
Jun-92,408.14,415.35,417.30,399.92,-,-0.0174
May-92,415.35,414.95,418.75,409.85,-,0.0010
